               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090359,            0.055526,            0.037469,               0.181,             0.37289,             0.18362,            0.059871,            0.041709,            0.042324,            0.021808,              0.0721,              0.0031,              0.0031
                   1,            0.063352,            0.047897,            0.028016,             0.16312,             0.69706,             0.22949,            0.095396,            0.043146,             0.03536,            0.016071,            0.042676,           0.0056763,           0.0056763
                   2,            0.059736,            0.042678,            0.022238,             0.51988,             0.72509,             0.67893,             0.26367,            0.039632,            0.025048,             0.01147,            0.012619,            0.007619,            0.007619
                   3,            0.057076,             0.03906,            0.016751,             0.62353,              0.8043,             0.79257,              0.4784,            0.043941,            0.023605,           0.0054411,             0.00703,             0.00703,             0.00703
                   4,            0.051236,             0.03678,            0.011668,             0.78976,             0.90356,             0.90109,             0.48964,             0.02996,            0.022702,           0.0031237,             0.00703,             0.00703,             0.00703
                   5,            0.044384,            0.035115,           0.0086622,             0.74718,             0.95207,             0.88447,             0.54514,            0.026829,             0.02134,            0.002453,             0.00604,             0.00604,             0.00604
                   6,            0.040062,            0.034729,           0.0069789,             0.97594,             0.99363,             0.99157,             0.60882,            0.020737,             0.02096,           0.0019073,             0.00505,             0.00505,             0.00505
                   7,            0.036557,            0.034996,           0.0058612,             0.97906,             0.99686,             0.99031,             0.66469,            0.018132,            0.021328,           0.0017283,             0.00406,             0.00406,             0.00406
                   8,            0.033028,            0.034093,           0.0053855,              0.9834,             0.99646,             0.99207,              0.6805,            0.019415,            0.020603,           0.0014563,             0.00307,             0.00307,             0.00307
                   9,            0.030583,             0.03268,           0.0044537,             0.98534,              0.9949,             0.99287,             0.68263,            0.017519,            0.020684,           0.0012933,             0.00208,             0.00208,             0.00208
