               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09042,            0.053672,            0.037403,              0.1804,             0.32661,             0.18274,            0.060005,            0.042351,            0.037827,            0.022369,              0.0721,              0.0031,              0.0031
                   1,            0.064554,            0.050644,            0.027845,             0.31985,             0.66832,             0.43488,             0.14478,            0.040784,            0.035122,            0.016241,            0.043238,           0.0062376,           0.0062376
                   2,            0.061887,            0.041345,            0.022062,             0.48388,             0.73136,             0.61394,             0.26816,            0.039918,            0.028176,           0.0086695,            0.014312,           0.0093119,           0.0093119
                   3,            0.059368,            0.038455,            0.014422,             0.65626,             0.76979,             0.81125,             0.40298,            0.030731,            0.025399,            0.003907,            0.009703,            0.009703,            0.009703
                   4,            0.051589,            0.036722,            0.010788,             0.63244,             0.93812,             0.87403,              0.4558,            0.035643,            0.026665,           0.0021775,            0.009703,            0.009703,            0.009703
                   5,            0.047716,            0.035431,           0.0078885,              0.7138,             0.81929,             0.91078,             0.55164,            0.029656,            0.023092,            0.002288,            0.009604,            0.009604,            0.009604
                   6,            0.043507,            0.034095,           0.0068863,             0.68285,             0.72361,              0.8653,              0.5105,            0.037006,            0.024655,           0.0019778,            0.009505,            0.009505,            0.009505
                   7,            0.041959,            0.034402,           0.0056834,             0.88676,             0.99231,             0.95349,             0.57893,            0.022111,            0.022385,           0.0015885,            0.009406,            0.009406,            0.009406
                   8,             0.03858,            0.033219,            0.004961,             0.98504,             0.99607,             0.99326,             0.60849,            0.024491,            0.021059,            0.001455,            0.009307,            0.009307,            0.009307
                   9,            0.037677,             0.03406,           0.0046194,             0.98391,             0.99686,              0.9936,             0.64401,            0.019378,            0.020946,           0.0017744,            0.009208,            0.009208,            0.009208
                  10,            0.035462,            0.032941,           0.0063254,             0.96925,             0.99686,             0.98462,             0.63237,            0.020328,            0.020525,           0.0018062,            0.009109,            0.009109,            0.009109
                  11,            0.034736,            0.033806,           0.0047336,             0.98157,             0.99371,             0.99204,             0.63319,             0.02082,            0.020966,           0.0013512,             0.00901,             0.00901,             0.00901
                  12,            0.034654,              0.0321,           0.0046479,             0.98193,             0.99451,             0.99313,             0.65438,            0.020821,            0.020692,           0.0010634,            0.008911,            0.008911,            0.008911
                  13,            0.033372,            0.032515,           0.0042415,             0.98152,             0.99616,             0.99193,             0.68921,            0.018227,            0.020726,           0.0013031,            0.008812,            0.008812,            0.008812
                  14,            0.033644,            0.031278,           0.0034276,             0.98494,             0.99638,             0.99093,             0.68048,            0.018879,            0.019734,           0.0010942,            0.008713,            0.008713,            0.008713
                  15,            0.032952,            0.031682,           0.0034272,             0.98437,             0.99686,             0.99387,             0.69835,            0.016231,            0.020523,           0.0012571,            0.008614,            0.008614,            0.008614
                  16,            0.032222,            0.031624,           0.0034433,             0.98595,             0.99686,             0.99329,             0.68808,            0.019855,             0.02002,           0.0010481,            0.008515,            0.008515,            0.008515
                  17,            0.032136,            0.030882,           0.0029148,             0.98982,             0.99686,             0.99359,             0.66321,            0.019193,            0.019955,           0.0011086,            0.008416,            0.008416,            0.008416
                  18,            0.032151,            0.031024,           0.0032959,             0.98463,             0.99634,             0.99303,             0.70118,            0.017624,            0.019684,           0.0010634,            0.008317,            0.008317,            0.008317
                  19,            0.030647,            0.029032,           0.0030905,             0.98785,             0.99686,             0.99296,             0.69664,            0.015932,            0.020666,          0.00091724,            0.008218,            0.008218,            0.008218
                  20,            0.029507,             0.02937,           0.0034484,             0.98699,             0.99664,             0.99197,             0.70738,            0.015336,            0.019893,           0.0011996,            0.008119,            0.008119,            0.008119
                  21,            0.029558,            0.030844,           0.0031308,             0.98831,             0.99023,             0.99224,              0.7021,              0.0177,            0.020218,           0.0012928,             0.00802,             0.00802,             0.00802
                  22,             0.02917,            0.029867,           0.0025008,              0.9852,             0.99244,             0.99305,             0.68589,            0.016932,            0.020421,          0.00098169,            0.007921,            0.007921,            0.007921
                  23,            0.029328,              0.0299,           0.0031574,             0.98347,             0.99449,             0.99257,             0.69851,            0.017964,            0.020279,           0.0010553,            0.007822,            0.007822,            0.007822
                  24,            0.029191,            0.029647,            0.003433,             0.98559,             0.99686,             0.99196,             0.70417,            0.015581,            0.020077,           0.0009563,            0.007723,            0.007723,            0.007723
                  25,            0.028348,             0.02908,           0.0030601,             0.98561,             0.99643,             0.99303,             0.70228,            0.016581,            0.020498,          0.00091821,            0.007624,            0.007624,            0.007624
                  26,            0.028695,            0.029755,           0.0026727,             0.98786,             0.99453,             0.99353,             0.69817,             0.01623,             0.02031,          0.00098215,            0.007525,            0.007525,            0.007525
                  27,            0.027484,            0.028898,           0.0023184,             0.98621,             0.98899,              0.9935,              0.6921,            0.015943,            0.021272,           0.0010136,            0.007426,            0.007426,            0.007426
                  28,            0.026815,            0.028085,           0.0025184,             0.98699,             0.99451,             0.99313,             0.70793,            0.016189,             0.02055,          0.00092661,            0.007327,            0.007327,            0.007327
                  29,            0.027809,            0.029363,           0.0031174,             0.98931,             0.99596,             0.99218,             0.70384,            0.015781,            0.020596,          0.00095286,            0.007228,            0.007228,            0.007228
                  30,            0.027161,            0.029113,           0.0025478,             0.98234,             0.99451,             0.99368,             0.68977,            0.017003,            0.021301,          0.00096037,            0.007129,            0.007129,            0.007129
                  31,            0.026966,            0.027515,           0.0028552,             0.98553,             0.99451,             0.99238,             0.71071,            0.015558,            0.020836,          0.00098348,             0.00703,             0.00703,             0.00703
                  32,            0.027076,            0.028676,           0.0024434,             0.98899,             0.99216,             0.99202,             0.69572,            0.015644,            0.020647,          0.00085223,            0.006931,            0.006931,            0.006931
                  33,            0.026263,            0.029192,           0.0026508,             0.98833,             0.99321,             0.99324,             0.69814,            0.015816,            0.021464,          0.00094779,            0.006832,            0.006832,            0.006832
                  34,             0.02637,             0.02813,            0.002509,             0.99322,             0.99451,             0.99293,             0.70372,            0.015567,            0.020557,          0.00085562,            0.006733,            0.006733,            0.006733
                  35,              0.0261,            0.028048,           0.0025632,             0.98555,             0.99451,             0.99137,             0.69308,            0.015292,            0.020518,          0.00087461,            0.006634,            0.006634,            0.006634
                  36,            0.025499,            0.027625,           0.0021041,             0.98639,             0.99382,             0.99129,             0.70262,            0.015372,            0.021052,          0.00083817,            0.006535,            0.006535,            0.006535
                  37,            0.025959,            0.028602,           0.0026387,              0.9877,             0.99686,             0.99227,             0.72135,            0.015058,            0.020578,          0.00085573,            0.006436,            0.006436,            0.006436
                  38,            0.025262,            0.027969,            0.002343,             0.99224,             0.99369,             0.99164,             0.72186,            0.015083,            0.020607,          0.00076665,            0.006337,            0.006337,            0.006337
                  39,            0.025672,            0.028966,           0.0020435,             0.98688,             0.99686,             0.99125,             0.71783,            0.014864,             0.02038,          0.00074465,            0.006238,            0.006238,            0.006238
                  40,            0.024159,            0.026924,           0.0019097,             0.98258,             0.99451,             0.99142,             0.69601,            0.015734,            0.020624,          0.00087651,            0.006139,            0.006139,            0.006139
                  41,             0.02421,            0.026786,           0.0019903,             0.99161,             0.99273,             0.99209,              0.7112,            0.014905,            0.020316,          0.00095941,             0.00604,             0.00604,             0.00604
                  42,            0.024557,            0.027713,           0.0019343,             0.97999,             0.99633,             0.99277,             0.70635,            0.015133,            0.020321,           0.0009117,            0.005941,            0.005941,            0.005941
                  43,            0.024815,             0.02752,           0.0021583,             0.98002,             0.98981,             0.99305,              0.7081,            0.015445,            0.020665,          0.00092955,            0.005842,            0.005842,            0.005842
                  44,            0.025452,            0.027273,           0.0018032,              0.9935,             0.99451,             0.99352,             0.72182,            0.014867,            0.019573,          0.00071388,            0.005743,            0.005743,            0.005743
                  45,            0.023901,            0.027162,           0.0018167,             0.98989,             0.99451,             0.99282,             0.71804,            0.014923,             0.01983,          0.00069419,            0.005644,            0.005644,            0.005644
                  46,            0.024123,            0.027525,           0.0016301,             0.99148,             0.99647,             0.99202,             0.70434,            0.015079,            0.020732,          0.00068747,            0.005545,            0.005545,            0.005545
                  47,            0.023339,            0.027084,           0.0015069,             0.98781,             0.99686,             0.99245,             0.70387,            0.015199,            0.021346,           0.0007095,            0.005446,            0.005446,            0.005446
                  48,             0.02322,            0.024828,           0.0015115,             0.98939,             0.99686,              0.9927,             0.70945,            0.015067,            0.021305,          0.00070968,            0.005347,            0.005347,            0.005347
                  49,            0.023797,            0.026176,           0.0020846,             0.98481,             0.99529,             0.99211,             0.71051,            0.014844,            0.021045,          0.00078093,            0.005248,            0.005248,            0.005248
                  50,             0.02283,            0.026181,           0.0017234,             0.98233,             0.99187,             0.99208,             0.71032,            0.015069,            0.021464,          0.00081593,            0.005149,            0.005149,            0.005149
                  51,            0.023238,            0.026825,           0.0016799,             0.98151,             0.98881,             0.98633,             0.71357,            0.014888,            0.020212,           0.0013185,             0.00505,             0.00505,             0.00505
                  52,            0.022739,            0.025573,           0.0018647,             0.98656,             0.99451,               0.992,             0.71077,            0.015276,            0.020834,           0.0006973,            0.004951,            0.004951,            0.004951
                  53,            0.022955,            0.026007,           0.0018439,             0.98983,             0.99413,             0.99111,             0.71316,            0.015086,            0.020467,          0.00064559,            0.004852,            0.004852,            0.004852
                  54,            0.022434,            0.025887,           0.0014777,             0.98372,              0.9948,             0.99156,             0.71617,            0.014608,            0.020878,          0.00064648,            0.004753,            0.004753,            0.004753
                  55,            0.022796,            0.026062,           0.0016042,             0.98886,             0.99686,             0.99114,             0.71756,             0.01448,            0.020306,          0.00065507,            0.004654,            0.004654,            0.004654
                  56,            0.022853,            0.025546,           0.0016263,             0.98669,             0.99616,             0.99278,             0.71726,            0.014962,            0.020699,          0.00060455,            0.004555,            0.004555,            0.004555
                  57,             0.02217,            0.025873,            0.001677,             0.98978,             0.99499,             0.99284,             0.71911,            0.015229,            0.021641,          0.00060981,            0.004456,            0.004456,            0.004456
                  58,            0.022426,            0.025258,           0.0017404,             0.99173,             0.99686,             0.99212,             0.70976,             0.01489,            0.021295,          0.00063874,            0.004357,            0.004357,            0.004357
                  59,            0.021741,            0.026557,           0.0013986,             0.98919,             0.99686,             0.99165,             0.71101,            0.014969,            0.021621,          0.00065771,            0.004258,            0.004258,            0.004258
                  60,             0.02144,            0.025751,           0.0016153,              0.9885,              0.9938,             0.99242,             0.71186,            0.014894,            0.021514,          0.00068682,            0.004159,            0.004159,            0.004159
                  61,            0.021563,            0.025208,           0.0012753,             0.98776,             0.99686,              0.9921,             0.71562,            0.014726,              0.0215,           0.0006438,             0.00406,             0.00406,             0.00406
                  62,            0.021399,             0.02533,           0.0014773,             0.98801,             0.99686,             0.99285,             0.72106,            0.014494,            0.020987,          0.00063778,            0.003961,            0.003961,            0.003961
                  63,            0.021095,            0.024274,           0.0010942,             0.98672,              0.9924,             0.99296,             0.72149,            0.014573,            0.020672,          0.00067964,            0.003862,            0.003862,            0.003862
                  64,             0.02152,            0.025389,           0.0017546,             0.99195,              0.9927,             0.99258,             0.71829,            0.014469,            0.020905,          0.00063077,            0.003763,            0.003763,            0.003763
                  65,            0.021063,            0.025164,           0.0014622,             0.99072,             0.99216,             0.99241,              0.7191,            0.014311,            0.021069,          0.00066245,            0.003664,            0.003664,            0.003664
                  66,             0.02167,             0.02509,           0.0015424,             0.98704,             0.98981,             0.99274,             0.71948,            0.014582,            0.021437,          0.00060632,            0.003565,            0.003565,            0.003565
                  67,            0.021341,             0.02601,           0.0013372,             0.98797,             0.99434,             0.99268,             0.71606,            0.014478,            0.021205,          0.00056866,            0.003466,            0.003466,            0.003466
                  68,            0.020534,            0.024658,           0.0011576,             0.99025,             0.99311,             0.99278,             0.71398,            0.014804,            0.021191,          0.00060951,            0.003367,            0.003367,            0.003367
                  69,            0.020488,             0.02453,           0.0013369,             0.98517,             0.99491,             0.99216,              0.7149,            0.014776,            0.021157,          0.00073932,            0.003268,            0.003268,            0.003268
                  70,             0.02034,            0.024508,           0.0013791,             0.98423,             0.98652,             0.99042,             0.70756,            0.014762,            0.021253,            0.001054,            0.003169,            0.003169,            0.003169
                  71,            0.020682,            0.024814,           0.0010956,              0.9857,             0.99453,             0.99176,             0.71789,            0.014247,            0.021016,          0.00071653,             0.00307,             0.00307,             0.00307
                  72,            0.020041,            0.024031,           0.0010475,             0.98641,             0.99686,             0.99163,             0.71774,            0.014443,            0.021059,          0.00056537,            0.002971,            0.002971,            0.002971
                  73,            0.020297,            0.025492,           0.0014345,             0.98937,             0.99325,             0.99215,             0.71137,            0.014696,            0.021118,          0.00058284,            0.002872,            0.002872,            0.002872
                  74,            0.020147,            0.022932,           0.0014535,             0.98768,             0.99074,             0.99299,             0.72457,            0.014573,            0.021105,          0.00062366,            0.002773,            0.002773,            0.002773
                  75,            0.020265,            0.024927,           0.0010682,             0.98261,             0.99618,             0.99306,             0.72343,            0.014533,             0.02192,          0.00055925,            0.002674,            0.002674,            0.002674
                  76,            0.020059,            0.023339,           0.0014433,             0.98687,             0.99216,             0.99324,             0.72209,            0.014522,            0.022077,          0.00054047,            0.002575,            0.002575,            0.002575
                  77,             0.01936,            0.024251,           0.0014767,             0.98507,             0.99167,             0.99271,             0.72152,            0.014354,            0.021723,          0.00053111,            0.002476,            0.002476,            0.002476
                  78,            0.019232,            0.023235,           0.0010593,             0.98825,             0.99282,             0.99217,             0.72038,            0.014281,            0.021109,          0.00052545,            0.002377,            0.002377,            0.002377
                  79,             0.01927,            0.023257,           0.0013729,             0.98637,             0.99451,             0.99198,             0.71464,            0.014429,            0.021417,          0.00052031,            0.002278,            0.002278,            0.002278
                  80,            0.019149,             0.02379,          0.00082532,              0.9911,             0.99233,             0.99191,             0.71988,            0.014529,            0.021203,          0.00051486,            0.002179,            0.002179,            0.002179
                  81,            0.019316,            0.024313,            0.001016,             0.98894,              0.9925,             0.99276,             0.72193,            0.014556,            0.021809,          0.00051504,             0.00208,             0.00208,             0.00208
                  82,            0.019018,            0.023277,            0.001056,             0.99071,             0.99263,             0.99272,             0.71738,             0.01435,            0.021127,          0.00051854,            0.001981,            0.001981,            0.001981
                  83,            0.018836,            0.023096,          0.00098283,             0.99076,             0.99594,             0.99275,              0.7175,            0.014471,            0.021359,          0.00052035,            0.001882,            0.001882,            0.001882
                  84,            0.018616,            0.023577,           0.0007858,             0.99012,             0.99631,             0.99282,             0.72157,            0.014365,            0.021104,          0.00051505,            0.001783,            0.001783,            0.001783
                  85,            0.018661,            0.023544,          0.00076277,             0.99136,             0.99451,             0.99283,             0.72637,            0.014376,            0.021124,          0.00051005,            0.001684,            0.001684,            0.001684
                  86,            0.018668,              0.0235,           0.0009954,             0.99105,             0.99328,             0.99287,             0.72804,            0.014385,            0.020914,          0.00050678,            0.001585,            0.001585,            0.001585
                  87,            0.018999,            0.023262,          0.00084357,             0.99075,             0.99451,             0.99288,             0.72202,            0.014427,            0.021468,          0.00050728,            0.001486,            0.001486,            0.001486
                  88,            0.018646,            0.023387,           0.0011521,             0.99018,             0.99412,              0.9927,              0.7233,            0.014414,            0.021516,          0.00051036,            0.001387,            0.001387,            0.001387
                  89,            0.018586,            0.023659,           0.0010244,             0.98978,             0.99471,             0.99251,             0.72488,            0.014412,            0.022201,          0.00050415,            0.001288,            0.001288,            0.001288
                  90,            0.019024,            0.024076,           0.0010146,             0.98949,             0.99408,             0.99177,             0.72386,            0.014288,            0.022052,          0.00051099,            0.001189,            0.001189,            0.001189
                  91,            0.018435,              0.0228,          0.00091122,             0.98962,             0.99451,             0.99153,              0.7222,            0.014221,            0.021763,          0.00051092,             0.00109,             0.00109,             0.00109
                  92,            0.018336,            0.023561,           0.0011234,             0.98972,             0.99451,             0.99192,             0.72643,            0.014118,            0.021378,          0.00050855,            0.000991,            0.000991,            0.000991
                  93,            0.018491,            0.023091,           0.0012437,             0.98919,             0.99401,             0.99202,             0.72687,            0.014167,            0.021336,          0.00051111,            0.000892,            0.000892,            0.000892
                  94,            0.018405,            0.023383,          0.00091212,             0.98858,             0.99451,             0.99241,             0.72889,            0.014117,            0.021651,          0.00051029,            0.000793,            0.000793,            0.000793
                  95,            0.018461,            0.022822,          0.00095459,             0.99023,             0.99451,             0.99275,             0.72909,            0.014346,            0.022153,          0.00050992,            0.000694,            0.000694,            0.000694
                  96,            0.018055,            0.022414,           0.0010315,             0.99054,             0.99451,             0.99257,             0.72473,            0.014297,            0.022103,          0.00051246,            0.000595,            0.000595,            0.000595
                  97,            0.018076,            0.022248,           0.0011395,              0.9913,             0.99451,             0.99211,             0.72631,            0.014277,            0.021839,          0.00050483,            0.000496,            0.000496,            0.000496
                  98,            0.018283,            0.022367,           0.0011518,              0.9912,             0.99451,             0.99223,              0.7249,            0.014218,            0.022125,          0.00050312,            0.000397,            0.000397,            0.000397
                  99,            0.018231,            0.023655,          0.00079704,             0.99093,             0.99451,             0.99193,             0.72286,            0.014313,            0.022172,          0.00050546,            0.000298,            0.000298,            0.000298
