               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10086,            0.052085,            0.038214,                   0,                   0,                   0,                   0,            0.063405,              0.0404,            0.024532,              0.0721,              0.0031,              0.0031
                   1,            0.083015,            0.062875,            0.034898,           0.0021111,             0.12362,            0.001482,          0.00027481,            0.062379,            0.041025,            0.024598,            0.043238,           0.0062376,           0.0062376
                   2,            0.075446,             0.05742,             0.03027,            0.013141,             0.64188,             0.04586,            0.012695,            0.060707,            0.040382,            0.024193,            0.014312,           0.0093119,           0.0093119
                   3,            0.069612,            0.054117,            0.025953,             0.63088,             0.38637,             0.31003,            0.098013,              0.0427,             0.03953,             0.01534,            0.009703,            0.009703,            0.009703
                   4,            0.065139,            0.051936,            0.020735,             0.46041,             0.44008,             0.18686,            0.059216,            0.043884,            0.045156,            0.010174,            0.009703,            0.009703,            0.009703
                   5,            0.060588,            0.049931,            0.016248,             0.50199,             0.72625,             0.59367,             0.19972,            0.037601,            0.034213,           0.0054637,            0.009604,            0.009604,            0.009604
                   6,            0.055003,            0.047874,             0.01317,              0.3891,             0.85079,              0.4758,             0.17537,            0.032992,            0.031785,           0.0032862,            0.009505,            0.009505,            0.009505
                   7,            0.052003,            0.046918,            0.010081,             0.71224,             0.83377,             0.81803,             0.35581,            0.028413,            0.028636,           0.0028401,            0.009406,            0.009406,            0.009406
                   8,            0.049063,            0.044085,           0.0080781,             0.68541,              0.9374,             0.87693,             0.37602,             0.03095,            0.030057,           0.0021558,            0.009307,            0.009307,            0.009307
                   9,            0.048633,            0.044632,           0.0068293,              0.8263,             0.91042,             0.94618,             0.43753,            0.026426,            0.026793,           0.0034182,            0.009208,            0.009208,            0.009208
                  10,            0.044865,            0.042378,           0.0068916,             0.88132,              0.9769,             0.95095,             0.45384,            0.024956,            0.026921,           0.0015112,            0.009109,            0.009109,            0.009109
                  11,            0.043593,            0.042395,           0.0063442,             0.89258,             0.92822,             0.96397,             0.39617,            0.027561,             0.02767,           0.0015455,             0.00901,             0.00901,             0.00901
                  12,            0.042821,            0.040215,           0.0058716,             0.92161,             0.94328,             0.97301,             0.42147,            0.029663,            0.024474,           0.0013025,            0.008911,            0.008911,            0.008911
                  13,            0.039951,            0.040351,           0.0058657,             0.95578,             0.97808,             0.98702,             0.52121,            0.022543,            0.025833,           0.0012548,            0.008812,            0.008812,            0.008812
                  14,            0.039724,            0.038152,           0.0044268,             0.98435,             0.99672,             0.99163,             0.54477,            0.021342,            0.024232,           0.0012125,            0.008713,            0.008713,            0.008713
                  15,             0.03969,            0.038515,           0.0044001,             0.95121,             0.98337,             0.99263,             0.60204,            0.020781,            0.024308,           0.0013439,            0.008614,            0.008614,            0.008614
                  16,            0.038993,            0.037897,           0.0043734,             0.97881,             0.98986,             0.99271,             0.61111,            0.021881,            0.023753,           0.0010093,            0.008515,            0.008515,            0.008515
                  17,            0.038618,            0.036907,           0.0038196,             0.98291,             0.99465,             0.99296,             0.57375,            0.023564,            0.023724,           0.0011106,            0.008416,            0.008416,            0.008416
                  18,            0.038488,            0.036981,           0.0042153,             0.98518,             0.99465,             0.99369,             0.62575,            0.021459,            0.022286,           0.0010339,            0.008317,            0.008317,            0.008317
                  19,            0.036131,            0.034516,           0.0039711,             0.98138,             0.99686,             0.99211,             0.56157,            0.020987,            0.023093,          0.00098315,            0.008218,            0.008218,            0.008218
                  20,            0.035546,            0.034441,           0.0039269,              0.9783,              0.9954,             0.99174,             0.56939,            0.023079,             0.02252,            0.001092,            0.008119,            0.008119,            0.008119
