               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.030653,            0.031438,           0.0026145,             0.98126,             0.99638,             0.99155,             0.63466,            0.017325,             0.02187,          0.00084214,           0.0082675,           0.0082675,           0.0082675
                  37,            0.030555,            0.032325,           0.0024529,             0.98426,             0.99269,             0.99237,             0.63465,            0.017882,            0.022401,          0.00084844,            0.008218,            0.008218,            0.008218
                  38,             0.02957,            0.031708,           0.0025903,             0.97801,             0.99537,             0.99125,             0.60533,            0.017902,            0.022331,          0.00095226,           0.0081685,           0.0081685,           0.0081685
                  39,            0.030672,            0.033129,           0.0026973,             0.98893,              0.9937,             0.99296,             0.65714,            0.016973,            0.022116,          0.00075924,            0.008119,            0.008119,            0.008119
                  40,            0.029075,            0.030829,           0.0022286,             0.98583,             0.99686,             0.99225,             0.63718,            0.017189,            0.022233,           0.0009298,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029077,            0.030689,           0.0027843,             0.98154,             0.99385,             0.99274,             0.65602,            0.016762,            0.022403,          0.00077105,             0.00802,             0.00802,             0.00802
                  42,            0.029286,            0.031495,           0.0019554,              0.9795,              0.9924,             0.99133,             0.66432,            0.016903,            0.021565,          0.00066676,           0.0079705,           0.0079705,           0.0079705
                  43,            0.029479,            0.031153,           0.0024581,             0.98701,             0.99217,             0.99218,             0.64445,            0.017162,            0.021041,          0.00077384,            0.007921,            0.007921,            0.007921
                  44,            0.030124,              0.0309,           0.0020649,             0.98467,              0.9964,             0.99288,             0.66284,             0.01743,            0.021016,          0.00066097,           0.0078715,           0.0078715,           0.0078715
                  45,            0.028389,            0.030749,            0.002435,              0.9865,             0.98941,             0.99255,             0.65419,             0.01704,              0.0212,          0.00071812,            0.007822,            0.007822,            0.007822
                  46,             0.02887,            0.030871,           0.0020661,             0.98468,             0.99273,             0.99291,             0.66748,            0.016823,            0.021808,          0.00089443,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028539,             0.03082,           0.0022508,             0.98019,             0.99465,             0.99202,             0.66904,             0.01635,            0.021221,          0.00068572,            0.007723,            0.007723,            0.007723
                  48,            0.027417,            0.028776,           0.0021211,             0.98294,             0.99686,             0.99135,             0.66824,             0.01646,              0.0221,          0.00081224,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028086,            0.029089,             0.00268,             0.98531,             0.99686,             0.99154,             0.68008,            0.016491,            0.021863,          0.00068493,            0.007624,            0.007624,            0.007624
                  50,            0.027503,            0.029693,           0.0021798,             0.98377,             0.99439,             0.99226,             0.69163,            0.015953,            0.020904,          0.00081954,           0.0075745,           0.0075745,           0.0075745
                  51,            0.028035,            0.030372,           0.0022258,             0.98007,             0.99336,             0.99174,             0.66496,            0.017011,            0.021564,          0.00088255,            0.007525,            0.007525,            0.007525
                  52,            0.026827,            0.028789,           0.0022713,             0.98652,             0.99686,             0.99122,             0.67375,            0.016592,            0.022123,          0.00073024,           0.0074755,           0.0074755,           0.0074755
                  53,            0.027673,            0.029715,           0.0025055,             0.98431,             0.99686,             0.99204,             0.64334,            0.017076,            0.021729,          0.00071189,            0.007426,            0.007426,            0.007426
                  54,            0.027135,             0.02939,           0.0021395,              0.9847,             0.99686,             0.99293,             0.66435,            0.016323,             0.02147,          0.00071275,           0.0073765,           0.0073765,           0.0073765
                  55,            0.026956,            0.029247,           0.0020755,             0.98767,             0.99686,             0.99363,             0.65365,            0.016662,            0.021266,          0.00062978,            0.007327,            0.007327,            0.007327
                  56,            0.027796,            0.029062,           0.0023766,             0.98967,              0.9946,             0.99428,             0.66952,            0.016164,            0.022028,          0.00071717,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026404,            0.029015,           0.0018375,             0.98877,             0.99645,             0.99129,             0.67814,            0.016508,            0.021038,          0.00086562,            0.007228,            0.007228,            0.007228
                  58,            0.026494,            0.028791,           0.0021625,             0.98861,             0.99686,             0.99213,             0.67994,            0.016288,            0.021531,          0.00067418,           0.0071785,           0.0071785,           0.0071785
                  59,            0.026403,            0.030109,           0.0017621,             0.98631,             0.99611,             0.99157,             0.67995,            0.016287,            0.022075,          0.00068221,            0.007129,            0.007129,            0.007129
                  60,            0.026763,            0.029597,           0.0021307,              0.9827,             0.99513,             0.99284,             0.66316,            0.016872,            0.022406,          0.00060865,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027153,            0.028958,            0.002126,             0.98692,             0.99686,              0.9932,             0.69048,            0.016045,            0.021516,          0.00062249,             0.00703,             0.00703,             0.00703
                  62,            0.025466,            0.028725,           0.0018499,             0.98669,             0.99176,             0.99265,             0.67693,            0.016323,            0.022093,          0.00068092,           0.0069805,           0.0069805,           0.0069805
                  63,            0.025427,            0.027983,           0.0016644,             0.98465,             0.99216,             0.99145,             0.65177,            0.017317,            0.022624,           0.0007919,            0.006931,            0.006931,            0.006931
                  64,             0.02625,             0.02932,           0.0021547,             0.98642,             0.99353,             0.99264,              0.6778,            0.015901,            0.021187,          0.00063223,           0.0068815,           0.0068815,           0.0068815
                  65,             0.02607,            0.028978,           0.0021634,             0.98486,             0.98997,             0.99347,             0.65976,            0.016655,            0.021792,          0.00056815,            0.006832,            0.006832,            0.006832
                  66,            0.026583,            0.028868,           0.0017467,             0.98565,             0.99686,             0.99245,             0.67894,            0.016058,            0.021179,          0.00057757,           0.0067825,           0.0067825,           0.0067825
                  67,            0.026246,            0.029601,           0.0020022,             0.98525,             0.98959,             0.99358,             0.68096,            0.016544,            0.021316,          0.00080327,            0.006733,            0.006733,            0.006733
                  68,            0.024395,            0.028259,           0.0019663,             0.98368,             0.99672,             0.99324,             0.69257,            0.015896,            0.020706,          0.00063717,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025575,            0.028346,           0.0016807,             0.98809,             0.99244,             0.99349,             0.67902,            0.016437,            0.021459,          0.00060498,            0.006634,            0.006634,            0.006634
                  70,            0.026257,            0.028448,           0.0020985,             0.98893,             0.99686,             0.99256,             0.68086,            0.015832,            0.021504,          0.00059216,           0.0065845,           0.0065845,           0.0065845
                  71,            0.024308,            0.028176,           0.0018155,             0.98293,             0.99561,              0.9927,             0.66884,            0.016255,            0.022375,          0.00058184,            0.006535,            0.006535,            0.006535
